name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Stefan Quandt,59,24600,56,M,Germany,NA,Frankfurt,Automotive,FALSE,NA,BMW,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
MacKenzie Scott,60,24400,52,F,United States,Washington,Seattle,Technology,FALSE,Philanthropist,Amazon,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
R. Budi Hartono,61,24200,82,M,Indonesia,NA,Kudus,Finance & Investments,FALSE,NA,"Banking, tobacco",U,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
Vladimir Potanin,62,23700,62,M,Russia,NA,Moscow,Metals & Mining,TRUE,NA,Metals,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Jack Ma,63,23500,58,M,China,NA,Hangzhou,Technology,TRUE,NA,E-commerce,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
He Xiangjian & family,64,23400,80,M,China,NA,Foshan,Manufacturing,TRUE,NA,Home appliances,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Iris Fontbona & family,65,23100,80,F,Chile,NA,Santiago,Metals & Mining,FALSE,NA,Mining,U,158.6250269,16.5437541,302117000000,-13398000000,100.1922684,100.1922684,79.519,19553036,8.249,-35.675147,-71.542969
Michael Hartono,65,23100,83,M,Indonesia,NA,Kudus,Manufacturing,FALSE,NA,"Banking, tobacco",U,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
James Ratcliffe,67,22900,70,M,United Kingdom,NA,London,Manufacturing,TRUE,NA,Chemicals,U,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Cyrus Poonawalla,68,22600,81,M,India,NA,Pune,Healthcare,FALSE,NA,Vaccines,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Masayoshi Son,69,22400,65,M,Japan,NA,Tokyo,Telecom,TRUE,CEO,"Internet, telecom",U,107.8396906,2.627878299999992,4256410000000,-778210000000,102.1587067,102.1587067,83.99634146,125124989,2.6,36.204824,138.252924
Vladimir Lisin,70,22100,66,M,Russia,NA,Moscow,Metals & Mining,TRUE,NA,"Steel, transport",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
